Concurso;Data Sorteio;Dezena_1;Dezena_2;Dezena_3;Dezena_4;Dezena_5;Dezena_6;Arrecadacao_Total;Ganhadores_Sena;Cidade;UF;Rateio_Sena;Ganhadores_Quina;Rateio_Quina;Ganhadores_Quadra;Rateio_Quadra;Acumulado;Valor_Acumulado;Estimativa_Prêmio;Acumulado_Mega_da_Virada
100;02/01/98;46;48;30;14;29;51;0;0;;;0;56;15.930,48;3600;247,32;SIM;8.585.129,47;0;0
101;02/08/98;39;1;37;31;29;18;0;0;;;0;52;20.589,41;4653;229,64;SIM;9.869.908,65;0;0
102;15/02/1998;44;42;37;56;19;20;0;1;;;11.336.626,88;73;16.743,36;6197;196,85;NÃO;0;0;0
103;22/02/1998;9;1;57;7;54;49;0;1;;;696.984,24;28;20.743,58;2632;220,24;NÃO;0;0;0
104;03/01/98;13;1;38;21;52;4;0;0;;;0;37;14.006,33;2588;199,85;SIM;621.880,72;0;0
105;03/08/98;3;13;31;43;46;49;0;0;;;0;55;11.824,08;4875;133,14;SIM;1.402.269,88;0;0
106;15/03/1998;24;16;38;5;39;35;9.795.278,00;0;;;0;94;7.678,27;5390;133,65;SIM;2.268.378,66;3.000.000,00;0
107;22/03/1998;2;24;52;4;16;51;0;0;;;0;35;21.494,23;3554;211,26;SIM;3.171.136,01;0;0
108;29/03/1998;60;29;34;24;21;59;0;0;;;0;35;22.511,72;2453;320,57;SIM;4.116.628,49;0;0
109;04/04/98;54;13;44;49;48;1;0;0;;;0;39;21.153,30;3881;212,15;SIM;11.523.677,38;0;0
110;04/11/98;57;58;18;31;43;52;0;0;;;0;35;27.771,48;3212;302,01;SIM;12.690.079,16;0;0
111;18/04/1998;52;32;4;33;25;22;0;0;;;0;68;18.082,94;6109;200,88;SIM;14.165.647,19;0;0
112;25/04/1998;37;43;34;20;12;42;0;1;;;15.802.579,93;137;9.957,01;8340;163,25;NÃO;0;0;0
113;05/02/98;34;54;26;28;55;7;0;0;;;0;38;14.269,55;2572;210,4;SIM;650.691,40;0;0
114;05/09/98;47;54;18;6;12;37;0;0;;;0;71;9.626,08;4908;138,99;SIM;1.470.833,69;0;0
115;16/05/1998;6;14;24;20;4;38;0;0;;;0;78;9.283,10;5091;141,95;SIM;2.339.731,79;0;0
116;23/05/1998;36;42;32;5;13;51;10.384.878,00;0;;;0;64;11.956,28;5270;144,91;SIM;3.257.973,62;4.200.000,00;0
117;30/05/1998;53;42;27;20;33;25;0;0;;;0;36;22.046,87;3822;207,26;SIM;4.210.398,41;0;0
118;06/06/98;22;57;37;9;25;56;0;0;;;0;53;16.052,88;4342;195,56;SIM;5.231.361,36;0;0
119;13/06/1998;47;21;1;50;36;38;0;0;;;0;21;38.921,16;2691;303,13;SIM;13.206.225,91;0;0
120;20/06/1998;46;45;16;40;27;3;0;0;;;0;92;13.020,97;7073;169,04;SIM;14.643.740,70;0;0
121;27/06/1998;53;41;44;2;29;55;0;0;;;0;45;28.917,00;4554;285,17;SIM;16.205.258,33;0;0
122;07/04/98;20;43;39;11;53;17;0;0;;;0;83;18.210,45;7203;209,43;SIM;18.019.018,95;0;0
123;07/11/98;13;42;16;32;14;26;0;0;;;0;176;12.440,56;13159;166,06;SIM;20.646.465,28;0;0
124;18/07/1998;52;5;34;57;15;41;0;1;;;24.536.288,72;188;17.242,12;14019;230,76;NÃO;0;0;0
125;25/07/1998;56;47;25;59;53;41;0;0;;;0;46;15.425,68;2784;254,38;SIM;851.497,47;0;0
126;08/01/98;32;28;6;10;11;40;0;0;;;0;83;10.052,56;5510;151,13;SIM;1.852.731,83;0;0
127;08/08/98;59;21;51;54;29;50;0;0;;;0;40;23.638,47;2613;361,14;SIM;2.987.378,17;0;0
128;15/08/1998;23;43;3;21;9;18;0;0;;;0;973;1.024,41;11715;84,91;SIM;4.183.483,50;0;0
129;22/08/1998;46;54;10;9;1;32;0;0;;;0;67;15.634,41;5320;196,51;SIM;5.440.490,00;0;0
130;29/08/1998;13;42;38;49;53;29;0;0;;;0;155;11.796,24;11403;160,03;SIM;18.814.958,31;0;0
131;09/05/98;30;9;17;27;4;44;0;0;;;0;361;6.811,67;21683;113,19;SIM;21.765.774,49;0;0
132;09/12/98;44;35;50;41;9;7;0;0;;;0;143;20.846,64;12179;244,29;SIM;25.343.057,89;0;0
133;19/09/1998;19;57;6;39;34;5;0;1;;;30.533.241,12;431;10.035,16;29264;147,51;NÃO;0;0;0
134;26/09/1998;60;32;25;36;52;4;0;0;;;0;82;10.253,38;4575;183,42;SIM;1.008.932,39;0;0
